pr,year,month,iso
11.3788,1963,5,DZA
5.24614,1963,6,DZA
3.95143,1963,7,DZA
4.18888,1963,8,DZA
6.6225,1963,9,DZA
5.22,1963,10,DZA
4.07833,1963,11,DZA
16.1671,1963,12,DZA
14.7294,1964,1,DZA
5.97944,1964,2,DZA
9.49682,1964,3,DZA
7.2393,1964,4,DZA
4.40839,1964,5,DZA
2.37813,1964,6,DZA
1.01159,1964,7,DZA
3.4775,1964,8,DZA
2.53603,1964,9,DZA
6.55406,1964,10,DZA
6.0023,1964,11,DZA
16.7085,1964,12,DZA
17.5833,1965,1,DZA
7.39491,1965,2,DZA
5.90217,1965,3,DZA
9.7489,1965,4,DZA
2.92618,1965,5,DZA
3.06919,1965,6,DZA
0.72982,1965,7,DZA
5.08858,1965,8,DZA
6.64518,1965,9,DZA
5.61202,1965,10,DZA
5.24324,1965,11,DZA
7.64886,1965,12,DZA
3.01955,1966,1,DZA
3.25727,1966,2,DZA
8.41849,1966,3,DZA
4.64372,1966,4,DZA
9.43165,1966,5,DZA
1.50604,1966,6,DZA
0.4947,1966,7,DZA
4.33695,1966,8,DZA
6.86418,1966,9,DZA
12.3251,1966,10,DZA
16.7682,1966,11,DZA
3.55975,1966,12,DZA
3.79275,1967,1,DZA
13.3049,1967,2,DZA
5.99955,1967,3,DZA
6.54552,1967,4,DZA
4.81189,1967,5,DZA
3.01954,1967,6,DZA
3.82702,1967,7,DZA
2.52608,1967,8,DZA
7.04923,1967,9,DZA
5.74393,1967,10,DZA
15.504,1967,11,DZA
9.07596,1967,12,DZA
5.11321,1968,1,DZA
9.88156,1968,2,DZA
11.1735,1968,3,DZA
6.27812,1968,4,DZA
10.0248,1968,5,DZA
5.58514,1968,6,DZA
0.91611,1968,7,DZA
2.12753,1968,8,DZA
3.16115,1968,9,DZA
2.26999,1968,10,DZA
5.12065,1968,11,DZA
10.6487,1968,12,DZA
8.64104,1969,1,DZA
6.4519,1969,2,DZA
8.04031,1969,3,DZA
9.10315,1969,4,DZA
5.13982,1969,5,DZA
2.00458,1969,6,DZA
1.84307,1969,7,DZA
5.6746,1969,8,DZA
9.34091,1969,9,DZA
20.2076,1969,10,DZA
7.83548,1969,11,DZA
11.6187,1969,12,DZA
7.45222,1970,1,DZA
2.83887,1970,2,DZA
6.50587,1970,3,DZA
9.32238,1970,4,DZA
4.78743,1970,5,DZA
1.88383,1970,6,DZA
2.06982,1970,7,DZA
0.85516,1970,8,DZA
1.6255,1970,9,DZA
5.54588,1970,10,DZA
3.27531,1970,11,DZA
7.74918,1970,12,DZA
9.48676,1971,1,DZA
7.25997,1971,2,DZA
8.28445,1971,3,DZA
7.28551,1971,4,DZA
7.07688,1971,5,DZA
1.92155,1971,6,DZA
2.76727,1971,7,DZA
3.03491,1971,8,DZA
5.55203,1971,9,DZA
5.51928,1971,10,DZA
20.1558,1971,11,DZA
11.6943,1971,12,DZA
11.6102,1972,1,DZA
7.39852,1972,2,DZA
11.3302,1972,3,DZA
8.65757,1972,4,DZA
9.23402,1972,5,DZA
2.90019,1972,6,DZA
0.49506,1972,7,DZA
1.97058,1972,8,DZA
8.17445,1972,9,DZA
10.7249,1972,10,DZA
6.72252,1972,11,DZA
12.1199,1972,12,DZA
6.50035,1973,1,DZA
13.7782,1973,2,DZA
9.10523,1973,3,DZA
5.66195,1973,4,DZA
1.17241,1973,5,DZA
4.32497,1973,6,DZA
0.89474,1973,7,DZA
1.41982,1973,8,DZA
4.1706,1973,9,DZA
2.05832,1973,10,DZA
7.19588,1973,11,DZA
16.2111,1973,12,DZA
0.94922,1974,1,DZA
10.2709,1974,2,DZA
23.4171,1974,3,DZA
11.581,1974,4,DZA
1.38083,1974,5,DZA
6.82354,1974,6,DZA
4.06019,1974,7,DZA
2.01335,1974,8,DZA
5.44696,1974,9,DZA
9.10212,1974,10,DZA
5.91527,1974,11,DZA
2.20881,1974,12,DZA
4.49831,1975,1,DZA
11.4809,1975,2,DZA
9.7562,1975,3,DZA
14.8809,1975,4,DZA
13.3914,1975,5,DZA
1.73397,1975,6,DZA
0.81422,1975,7,DZA
3.8811,1975,8,DZA
4.7282,1975,9,DZA
0.98082,1975,10,DZA
9.28789,1975,11,DZA
9.68608,1975,12,DZA
12.1383,1976,1,DZA
16.9553,1976,2,DZA
11.5156,1976,3,DZA
10.4117,1976,4,DZA
15.4408,1976,5,DZA
4.90533,1976,6,DZA
3.14637,1976,7,DZA
4.7392,1976,8,DZA
10.4152,1976,9,DZA
11.5345,1976,10,DZA
13.0893,1976,11,DZA
7.7125,1976,12,DZA
17.7133,1977,1,DZA
2.14101,1977,2,DZA
4.67401,1977,3,DZA
8.69057,1977,4,DZA
9.97901,1977,5,DZA
1.4797,1977,6,DZA
1.5675,1977,7,DZA
2.52365,1977,8,DZA
2.4616,1977,9,DZA
6.96149,1977,10,DZA
12.9448,1977,11,DZA
5.15048,1977,12,DZA
7.93048,1978,1,DZA
8.28055,1978,2,DZA
3.96494,1978,3,DZA
8.35732,1978,4,DZA
5.86141,1978,5,DZA
0.5129,1978,6,DZA
0.96636,1978,7,DZA
2.79855,1978,8,DZA
2.12091,1978,9,DZA
10.5266,1978,10,DZA
4.97787,1978,11,DZA
3.30913,1978,12,DZA
17.3807,1979,1,DZA
15.8234,1979,2,DZA
7.34452,1979,3,DZA
6.89103,1979,4,DZA
2.68467,1979,5,DZA
