tas,year,month,country
29.1637,1962,9,DZA
23.9059,1962,10,DZA
16.9028,1962,11,DZA
12.1135,1962,12,DZA
13.917,1963,1,DZA
15.4227,1963,2,DZA
17.4422,1963,3,DZA
22.0224,1963,4,DZA
24.1827,1963,5,DZA
29.7228,1963,6,DZA
32.4014,1963,7,DZA
32.0198,1963,8,DZA
28.5066,1963,9,DZA
22.1667,1963,10,DZA
18.0204,1963,11,DZA
14.6967,1963,12,DZA
11.5493,1964,1,DZA
15.4778,1964,2,DZA
19.7839,1964,3,DZA
20.9454,1964,4,DZA
27.1831,1964,5,DZA
30.9775,1964,6,DZA
32.1147,1964,7,DZA
31.4686,1964,8,DZA
28.4551,1964,9,DZA
22.7952,1964,10,DZA
16.4963,1964,11,DZA
12.5562,1964,12,DZA
11.6584,1965,1,DZA
13.9031,1965,2,DZA
18.3163,1965,3,DZA
20.1678,1965,4,DZA
26.8332,1965,5,DZA
30.4075,1965,6,DZA
32.8588,1965,7,DZA
31.1185,1965,8,DZA
27.8795,1965,9,DZA
24.2554,1965,10,DZA
17.6733,1965,11,DZA
13.3717,1965,12,DZA
14.3942,1966,1,DZA
16.6971,1966,2,DZA
16.7083,1966,3,DZA
22.482,1966,4,DZA
25.8881,1966,5,DZA
31.3604,1966,6,DZA
32.5141,1966,7,DZA
32.5024,1966,8,DZA
28.4764,1966,9,DZA
24.1657,1966,10,DZA
16.3376,1966,11,DZA
12.7017,1966,12,DZA
11.3398,1967,1,DZA
14.7997,1967,2,DZA
17.9925,1967,3,DZA
21.7905,1967,4,DZA
27.0237,1967,5,DZA
29.6549,1967,6,DZA
32.5983,1967,7,DZA
31.8025,1967,8,DZA
28.8122,1967,9,DZA
23.6007,1967,10,DZA
17.6626,1967,11,DZA
10.8799,1967,12,DZA
10.8974,1968,1,DZA
15.4842,1968,2,DZA
18.0105,1968,3,DZA
22.6492,1968,4,DZA
26.3814,1968,5,DZA
29.9147,1968,6,DZA
32.528,1968,7,DZA
32.0917,1968,8,DZA
29.0302,1968,9,DZA
22.9847,1968,10,DZA
18.045,1968,11,DZA
13.3845,1968,12,DZA
13.3083,1969,1,DZA
16.4303,1969,2,DZA
20.0791,1969,3,DZA
20.4607,1969,4,DZA
26.6596,1969,5,DZA
30.215,1969,6,DZA
31.129,1969,7,DZA
31.4087,1969,8,DZA
28.6248,1969,9,DZA
22.7518,1969,10,DZA
18.1178,1969,11,DZA
12.0307,1969,12,DZA
14.17,1970,1,DZA
15.526,1970,2,DZA
17.5568,1970,3,DZA
21.9645,1970,4,DZA
25.7294,1970,5,DZA
31.1949,1970,6,DZA
32.4891,1970,7,DZA
32.3758,1970,8,DZA
28.699,1970,9,DZA
22.9531,1970,10,DZA
17.4083,1970,11,DZA
